RESEARCHER ID,YEAR,H-INDEX,TIMESTAMP
57090489100,2015,1,1/26/2025 5:57:35 AM
57090489100,2016,1,1/26/2025 5:57:36 AM
57090489100,2017,3,1/26/2025 5:57:37 AM
57090489100,2018,8,1/26/2025 5:57:38 AM
57090489100,2019,16,1/26/2025 5:57:40 AM
57090489100,2020,23,1/26/2025 5:57:41 AM
57090489100,2021,27,1/26/2025 5:57:42 AM
57090489100,2022,30,1/26/2025 5:57:43 AM
57090489100,2023,34,1/26/2025 5:57:45 AM
57090489100,2024,35,1/26/2025 5:57:46 AM
6602481900,1997,2,1/26/2025 6:11:54 AM
6602481900,1998,4,1/26/2025 6:11:55 AM
6602481900,1999,8,1/26/2025 6:11:56 AM
6602481900,2000,12,1/26/2025 6:11:58 AM
6602481900,2001,13,1/26/2025 6:11:59 AM
6602481900,2002,13,1/26/2025 6:12:00 AM
6602481900,2003,14,1/26/2025 6:12:01 AM
6602481900,2004,15,1/26/2025 6:12:03 AM
6602481900,2005,15,1/26/2025 6:12:04 AM
6602481900,2006,15,1/26/2025 6:12:06 AM
6602481900,2007,15,1/26/2025 6:12:07 AM
6602481900,2008,15,1/26/2025 6:12:08 AM
6602481900,2009,15,1/26/2025 6:12:10 AM
6602481900,2010,15,1/26/2025 6:12:12 AM
6602481900,2011,17,1/26/2025 6:12:13 AM
6602481900,2012,18,1/26/2025 6:12:14 AM
6602481900,2013,20,1/26/2025 6:12:16 AM
6602481900,2014,23,1/26/2025 6:12:16 AM
6602481900,2015,23,1/26/2025 6:12:18 AM
6602481900,2016,23,1/26/2025 6:12:20 AM
6602481900,2017,23,1/26/2025 6:12:21 AM
6602481900,2018,23,1/26/2025 6:12:23 AM
6602481900,2019,23,1/26/2025 6:12:24 AM
6602481900,2020,23,1/26/2025 6:12:26 AM
6602481900,2021,23,1/26/2025 6:12:27 AM
6602481900,2022,23,1/26/2025 6:12:28 AM
6602481900,2023,23,1/26/2025 6:12:30 AM
6602481900,2024,23,1/26/2025 6:12:32 AM
35616387700,2007,3,1/26/2025 6:18:35 AM
35616387700,2008,4,1/26/2025 6:18:36 AM
35616387700,2009,7,1/26/2025 6:18:37 AM
35616387700,2010,7,1/26/2025 6:18:38 AM
35616387700,2011,7,1/26/2025 6:18:40 AM
35616387700,2012,8,1/26/2025 6:18:42 AM
35616387700,2013,9,1/26/2025 6:18:43 AM
35616387700,2014,9,1/26/2025 6:18:44 AM
35616387700,2015,11,1/26/2025 6:18:45 AM
35616387700,2016,11,1/26/2025 6:18:47 AM
35616387700,2017,13,1/26/2025 6:18:49 AM
35616387700,2018,13,1/26/2025 6:18:50 AM
35616387700,2019,13,1/26/2025 6:18:51 AM
35616387700,2020,14,1/26/2025 6:18:53 AM
35616387700,2021,14,1/26/2025 6:18:54 AM
35616387700,2022,14,1/26/2025 6:18:55 AM
35616387700,2023,14,1/26/2025 6:18:57 AM
35616387700,2024,14,1/26/2025 6:18:58 AM
36477540500,2010,1,1/26/2025 6:34:19 AM
36477540500,2011,5,1/26/2025 6:34:21 AM
36477540500,2012,8,1/26/2025 6:34:22 AM
36477540500,2013,9,1/26/2025 6:34:22 AM
36477540500,2014,9,1/26/2025 6:34:24 AM
36477540500,2015,11,1/26/2025 6:34:25 AM
36477540500,2016,12,1/26/2025 6:34:26 AM
36477540500,2017,14,1/26/2025 6:34:28 AM
36477540500,2018,20,1/26/2025 6:34:29 AM
36477540500,2019,22,1/26/2025 6:34:30 AM
36477540500,2020,22,1/26/2025 6:34:32 AM
36477540500,2021,22,1/26/2025 6:34:33 AM
36477540500,2022,23,1/26/2025 6:34:35 AM
36477540500,2023,23,1/26/2025 6:34:36 AM
36477540500,2024,23,1/26/2025 6:34:38 AM
57734813100,2016,1,1/26/2025 6:44:15 AM
57734813100,2017,1,1/26/2025 6:44:16 AM
57734813100,2018,1,1/26/2025 6:44:18 AM
57734813100,2019,1,1/26/2025 6:44:19 AM
57734813100,2020,1,1/26/2025 6:44:19 AM
57734813100,2021,1,1/26/2025 6:44:21 AM
57734813100,2022,1,1/26/2025 6:44:22 AM
57734813100,2023,1,1/26/2025 6:44:24 AM
57734813100,2024,1,1/26/2025 6:44:25 AM
24376067000,2004,1,1/26/2025 6:45:09 AM
24376067000,2005,1,1/26/2025 6:45:10 AM
24376067000,2006,1,1/26/2025 6:45:11 AM
24376067000,2007,1,1/26/2025 6:45:11 AM
24376067000,2008,1,1/26/2025 6:45:13 AM
24376067000,2009,3,1/26/2025 6:45:15 AM
24376067000,2010,5,1/26/2025 6:45:15 AM
24376067000,2011,5,1/26/2025 6:45:16 AM
24376067000,2012,5,1/26/2025 6:45:17 AM
24376067000,2013,5,1/26/2025 6:45:18 AM
24376067000,2014,8,1/26/2025 6:45:20 AM
24376067000,2015,9,1/26/2025 6:45:21 AM
24376067000,2016,12,1/26/2025 6:45:22 AM
24376067000,2017,15,1/26/2025 6:45:23 AM
24376067000,2018,20,1/26/2025 6:45:25 AM
24376067000,2019,28,1/26/2025 6:45:27 AM
24376067000,2020,29,1/26/2025 6:45:28 AM
24376067000,2021,31,1/26/2025 6:45:30 AM
24376067000,2022,33,1/26/2025 6:45:30 AM
24376067000,2023,33,1/26/2025 6:45:32 AM
24376067000,2024,33,1/26/2025 6:45:33 AM
8582567800,1997,2,1/26/2025 6:53:45 AM
8582567800,1998,3,1/26/2025 6:53:46 AM
8582567800,1999,4,1/26/2025 6:53:47 AM
8582567800,2000,4,1/26/2025 6:53:48 AM
8582567800,2001,4,1/26/2025 6:53:50 AM
8582567800,2002,4,1/26/2025 6:53:50 AM
8582567800,2003,4,1/26/2025 6:53:52 AM
8582567800,2004,4,1/26/2025 6:53:53 AM
8582567800,2005,6,1/26/2025 6:53:55 AM
8582567800,2006,11,1/26/2025 6:53:56 AM
8582567800,2007,16,1/26/2025 6:53:56 AM
8582567800,2008,16,1/26/2025 6:53:58 AM
8582567800,2009,20,1/26/2025 6:54:00 AM
8582567800,2010,20,1/26/2025 6:54:01 AM
8582567800,2011,25,1/26/2025 6:54:02 AM
8582567800,2012,24,1/26/2025 6:54:04 AM
8582567800,2013,27,1/26/2025 6:54:05 AM
8582567800,2014,28,1/26/2025 6:54:06 AM
8582567800,2015,29,1/26/2025 6:54:07 AM
8582567800,2016,29,1/26/2025 6:54:09 AM
8582567800,2017,30,1/26/2025 6:54:10 AM
8582567800,2018,30,1/26/2025 6:54:11 AM
8582567800,2019,30,1/26/2025 6:54:12 AM
8582567800,2020,30,1/26/2025 6:54:14 AM
