RESEARCHER ID,DOCUMENT,YEAR,CITATIONS YEAR,CITATIONS,TIMESTAMP,CONDITION
9278795100,,,<2000,58,1/25/2025 9:43,
9278795100,,,2000,62,1/25/2025 9:43,
9278795100,,,2001,151,1/25/2025 9:43,
9278795100,,,2002,177,1/25/2025 9:43,
9278795100,,,2003,248,1/25/2025 9:43,
9278795100,,,2004,236,1/25/2025 9:43,
9278795100,,,2005,294,1/25/2025 9:43,
9278795100,,,2006,343,1/25/2025 9:43,
9278795100,,,2007,354,1/25/2025 9:43,
9278795100,,,2008,454,1/25/2025 9:43,
9278795100,,,2009,360,1/25/2025 9:43,
9278795100,,,2010,395,1/25/2025 9:43,
9278795100,,,2011,540,1/25/2025 9:43,
9278795100,,,2012,602,1/25/2025 9:43,
9278795100,,,2013,498,1/25/2025 9:43,
9278795100,,,2014,576,1/25/2025 9:43,
9278795100,,,2015,556,1/25/2025 9:43,
9278795100,,,2016,564,1/25/2025 9:43,
9278795100,,,2017,535,1/25/2025 9:43,
9278795100,,,2018,620,1/25/2025 9:43,
9278795100,,,2019,545,1/25/2025 9:43,
9278795100,,,2020,521,1/25/2025 9:43,
9278795100,,,2021,584,1/25/2025 9:43,
9278795100,,,2022,641,1/25/2025 9:43,
9278795100,,,2023,514,1/25/2025 9:43,
9278795100,,,2024,567,1/25/2025 9:43,
9278795100,,,2025,69,1/25/2025 9:43,
9278795100,"Stability enhancement of perovskite solar cells using multifunctional inorganic materials with UV protective, self cleaning, and high wear resistance properties",2024,2024,4,1/25/2025 9:43,ESC
9278795100,"Stability enhancement of perovskite solar cells using multifunctional inorganic materials with UV protective, self cleaning, and high wear resistance properties",2024,2025,1,1/25/2025 9:43,ESC
9278795100,"Stability enhancement of perovskite solar cells using multifunctional inorganic materials with UV protective, self cleaning, and high wear resistance properties",2024,Subtotal,5,1/25/2025 9:43,ESC
9278795100,"Stability enhancement of perovskite solar cells using multifunctional inorganic materials with UV protective, self cleaning, and high wear resistance properties",2024,Total,5,1/25/2025 9:43,ESC
9278795100,"Triazine diphosphonium tetrachloroferrate ionic liquid immobilized on functionalized halloysite nanotubes as an efficient and reusable catalyst for the synthesis of mono-, bis- and tris-benzothiazoles",2023,2024,3,1/25/2025 9:43,ESC
9278795100,"Triazine diphosphonium tetrachloroferrate ionic liquid immobilized on functionalized halloysite nanotubes as an efficient and reusable catalyst for the synthesis of mono-, bis- and tris-benzothiazoles",2023,Subtotal,3,1/25/2025 9:43,ESC
9278795100,"Triazine diphosphonium tetrachloroferrate ionic liquid immobilized on functionalized halloysite nanotubes as an efficient and reusable catalyst for the synthesis of mono-, bis- and tris-benzothiazoles",2023,Total,3,1/25/2025 9:43,ESC
